#     ts mosi  r/w cmd      reg   data              comment
#        miso      cmd            data
         0xAE02   0x17            0x01 00000001b

[0.3242] 0xB1D2 W 0x18 FWDRSP     0xE9              # Functional watchdog response command
         0xB1D2   0x18            0xE9 11101001b

[0.3242] 0xB032 W 0x18 FWDRSP     0x19              # Functional watchdog response command
         0xB032   0x18            0x19 00011001b

[0.3242] 0xB1CC W 0x18 FWDRSP     0xE6              # Functional watchdog response command
         0xB1CC   0x18            0xE6 11100110b

[0.3242] 0xB22D W 0x19 FWDRSPSYNC 0x16              # Functional watchdog response command with synchronization
         0xB22D   0x19            0x16 00010110b
