#     ts mosi  r/w cmd      reg   data              comment
#        miso      cmd            data
         0xB34F   0x19            0xA7 10100111b

[0.8999] 0x2E00 R 0x17 WWDSCMD    0x00              # Window watchdog service command
         0x8001   0x00            0x00 00000000b

[0.9000] 0xAE02 W 0x17 WWDSCMD    0x01              # Window watchdog service command
         0xAE02   0x17            0x01 00000001b

[0.9000] 0x5401 R 0x2A FWDSTAT0   0x00              # Functional watchdog status 0
         0x80EF   0x00            0x77 01110111b
